smiles	logP	logS	logP-err	logS-err	logP-warn	logS-warn
Clc1ccc(Oc2c(Cl)ccc(Cl)c2Cl)cc1Cl	6.41	-7.05	0.30	1.06			Clc1ccc(Oc2c(Cl)ccc(Cl)c2Cl)cc1Cl
CCOC(=O)C(C)Oc1ccc(Oc2cnc3ccccc3n2)cc1	3.76	-4.21	0.38	1.17			CCOC(=O)C(C)Oc1ccc(Oc2cnc3ccccc3n2)cc1
CN(C(=O)CCC(N)=O)c1ccc(S(=O)(=O)N(C)C)cc1	0.10	-2.11	0.70	1.54			CN(C(=O)CCC(N)=O)c1ccc(S(=O)(=O)N(C)C)cc1
N=C1Nc2ccccc2O1	0.86	-1.84	0.66	1.15			N=c1[nH]c2ccccc2o1
N=C1NC(=O)c2[nH]c(N)c(Cc3ccsc3)c2N1	1.19	-3.33	0.77	1.67			N=c1[nH]c(=O)c2[nH]c(N)c(Cc3ccsc3)c2[nH]1
CCCC(CCC)(NC(C)=O)C(N)=O	0.93	-2.10	0.65	1.21			CCCC(CCC)(NC(C)=O)C(N)=O
NCCCCC(=O)O	-2.75	0.24	0.33	0.73			NCCCCC(=O)O
Cn1ccc2ccccc12	2.71	-2.17	0.42	1.00			Cn1ccc2ccccc21
CCOC(=O)OCN1C(=O)NCC(F)C1=O	-0.26	-1.00	0.69	2.39		logS	CCOC(=O)OCn1c(=O)[nH]cc(F)c1=O
C1C2C4C2C3C1C34	0.87	-2.46	0.36	1.17			C1C2C3C2C2C1C32
C#CCOc1cc(OC(=O)N2CCCC2)c(Cl)cc1Cl	3.77	-4.26	0.33	0.78			C#CCOc1cc(OC(=O)N2CCCC2)c(Cl)cc1Cl
CC(=O)OCC(COC(C)=O)OC(C)=O	0.40	-1.29	0.50	1.18			CC(=O)OCC(COC(C)=O)OC(C)=O
CCC(=O)OC	0.68	0.17	0.32	0.60			CCC(=O)OC
CC(C)(C)C1CCN(N=O)CC1	2.47	-2.14	0.57	1.56			CC(C)(C)C1CCN(N=O)CC1
CN(C)C(=O)OCc1ccc(N(=O)=O)cc1	1.73	-2.41	0.31	1.04			CN(C)C(=O)OCc1ccc([N+](=O)[O-])cc1
CCC(C)C(NC(=O)C(NC(=O)C(N)CC(C)C)C(C)=O)C(O)O	-0.01	-1.73	0.76	1.26			CCC(C)C(NC(=O)C(NC(=O)C(N)CC(C)C)C(C)=O)C(O)O
CON(C)C(=O)Nc1ccc(N(=O)=O)cc1	1.57	-2.38	0.31	0.77			CON(C)C(=O)Nc1ccc([N+](=O)[O-])cc1
CC(=O)C=Cc1ccccc1F	2.24	-3.13	0.32	1.15			CC(=O)C=Cc1ccccc1F
O=C1NC(=O)C(c2ccccc2)C(=O)N1	0.57	-2.16	0.47	1.16			O=C1NC(=O)C(c2ccccc2)C(=O)N1
NC1CCCCC1	1.30	-1.10	0.75	0.91			NC1CCCCC1
CCCCN1CN2C(Nc3ccccc3C2=O)C1C	2.02	-2.04	0.68	1.12			CCCCN1Cn2c(nc3ccccc3c2=O)C1C
O=C1CCC2CCCCC2C1	2.85	-3.02	0.78	1.18			O=C1CCC2CCCCC2C1
CC(C)(C)NC(=O)NN	0.02	-0.22	0.34	1.73			CC(C)(C)NC(=O)NN
COC(=O)CS(=O)c1ccc(Cl)cc1N(=O)=O	1.41	-2.28	0.33	1.12			COC(=O)CS(=O)c1ccc(Cl)cc1[N+](=O)[O-]
CCN1CCCC1=O	0.13	0.74	0.38	0.64			CCN1CCCC1=O
c1ccc(n2cnnn2)cc1	0.69	-1.46	0.39	0.74			c1ccc(-n2cnnn2)cc1
CC1C(N(C)C)C(=O)NC(=O)N1c2ccccc2	0.14	-1.48	0.56	1.32			Cc1c(N(C)C)c(=O)[nH]c(=O)n1-c1ccccc1
CC1=CC(=O)c2ccccc2C1=O	1.91	-2.53	0.41	1.58			CC1=CC(=O)c2ccccc2C1=O
CC(=O)NC(CC(N)=O)C(N)=O	-2.21	-1.09	0.37	1.08			CC(=O)NC(CC(N)=O)C(N)=O
CN(C)C(=O)Cc1cccs1	0.89	-2.11	0.45	0.75			CN(C)C(=O)Cc1cccs1
Cc1cc(Cl)cc(C)c1NC2=NCCN2	2.08	-2.75	0.67	1.34			Cc1cc(Cl)cc(C)c1NC1=NCCN1
CN1C(=N)Nc2cc(Cl)c(Cl)cc12	2.50	-2.59	0.81	1.21			Cn1c(=N)[nH]c2cc(Cl)c(Cl)cc21
Nc1ccc2nc(S(N)(=O)=O)sc2c1	0.67	-2.40	0.65	0.72			Nc1ccc2nc(S(N)(=O)=O)sc2c1
CC(=O)c1ccc(C(O)(Cn2ccnc2)c3ccc(c4ccncc4)cc3)cc1	2.95	-5.14	0.78	0.76			CC(=O)c1ccc(C(O)(Cn2ccnc2)c2ccc(-c3ccncc3)cc2)cc1
COc1cc(C(=O)O)ccc1O	1.70	-1.47	0.34	0.82			COc1cc(C(=O)O)ccc1O
O=C(Cc1ccccc1)c2ccc3n2CCC3C(=O)O	2.71	-2.91	0.35	1.06			O=C(Cc1ccccc1)c1ccc2n1CCC2C(=O)O
CCC(C)C(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)O)C(C)C	-0.56	-3.33	0.55	1.28			CCC(C)C(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)O)C(C)C
CNC(=O)Oc1ccccc1C(C)C	2.25	-2.73	0.44	0.90			CNC(=O)Oc1ccccc1C(C)C
CC(C)CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCN=C(N)N)C(=O)O	-2.28	-3.97	0.65	1.50			CC(C)CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCN=C(N)N)C(=O)O
Cn1c(C(=O)N2CCC4(CC2)OCCO4)cc3C(=O)n5ccccc5Nc13	2.24	-2.38	0.71	0.88			Cn1c(C(=O)N2CCC3(CC2)OCCO3)cc2c(=O)n3ccccc3nc21
NC(=O)C1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1	4.40	-5.23	0.68	1.56			NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
c1ccc3c(c1)ccc2c4ccsc4ccc23	5.44	-5.25	0.30	0.71			c1ccc2c(c1)ccc1c3ccsc3ccc21
CC(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(N)=O	-1.58	-2.21	0.35	1.71			CC(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(N)=O
COC(=O)CSc1cc(N=C2SC(=O)N3N2CCCC3)c(F)cc1Cl	2.95	-4.15	0.63	1.70			COC(=O)CSc1cc(N=c2sc(=O)n3n2CCCC3)c(F)cc1Cl
CN(C)C1CCC3C(C1)=C(c2ccccc2)NCC(=O)N=3	2.05	-3.15	0.64	1.40			CN(C)c1ccc2c(c1)=C(c1ccccc1)NCC(=O)N=2
N([NH4])=C=NN(c1ccnc2ccccc12)(Cl)=O	0.72	-3.63	1.20	2.39	logP	logS	[N-]=C=N[N+](=O)c1ccnc2ccccc12
O=N(=O)C1CNC(=NC2=NCCO2)S1	-0.04	-1.82	0.76	1.39			O=[N+]([O-])c1c[nH]c(=NC2=NCCO2)s1
COc1ccc2cc(CC(=O)OCC(=O)NC3CCCCC3)ccc2c1	3.94	-5.63	0.52	1.29			COc1ccc2cc(CC(=O)OCC(=O)NC3CCCCC3)ccc2c1
CC1(C)CC(N)CC(C)(C)N1O	0.90	-0.70	0.72	2.39		logS	CC1(C)CC(N)CC(C)(C)N1O
CCOc1ccccc1C(=O)N2CCCCC2	2.74	-2.08	0.36	0.84			CCOc1ccccc1C(=O)N1CCCCC1
COc1cc(C)n(c2cc(C)nc(C)n2)n1	1.31	-2.41	0.30	0.97			COc1cc(C)n(-c2cc(C)nc(C)n2)n1
CCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1	3.27	-3.18	0.30	1.33			CCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1
CC(=O)C=Cc1ccccc1C	2.58	-3.19	0.39	0.94			CC(=O)C=Cc1ccccc1C
O=C1CCCCCC1O	0.24	-0.30	0.57	0.96			O=c1cccccc1O
Cc1cc(N(=O)=O)ccc1NC(=O)c2cc(Cl)cc(Cl)c2O	4.58	-4.94	0.39	0.67			Cc1cc([N+](=O)[O-])ccc1NC(=O)c1cc(Cl)cc(Cl)c1O
OC(Cn1ccnc1)(c2ccc(F)cc2)c3ccc(c4ccccc4)cc3	4.20	-5.54	0.64	0.75			OC(Cn1ccnc1)(c1ccc(F)cc1)c1ccc(-c2ccccc2)cc1
N#CCNc1ccccc1C(=O)O	1.43	-2.10	0.69	0.96			N#CCNc1ccccc1C(=O)O
COC(=O)C(C#N)=Cc1ccco1	1.79	-2.43	0.43	2.39		logS	COC(=O)C(C#N)=Cc1ccco1
CC(C)C1NNC(=S)N(N)C1=O	-0.36	-1.85	0.71	2.39		logS	CC(C)c1n[nH]c(=S)n(N)c1=O
N#CC(CCN1CCC(C(N)=O)(N4CCCCC4)CC1)(c2ccccc2)c3ccccc3	3.71	-4.63	0.80	0.95			N#CC(CCN1CCC(C(N)=O)(N2CCCCC2)CC1)(c1ccccc1)c1ccccc1
COc1cccc(C2C4=C(CCCC4=O)N=C(C)C2C(=O)OCC3CCCO3)c1	3.01	-4.44	0.73	1.37			COc1cccc(C2C3=C(CCCC3=O)N=C(C)C2C(=O)OCC2CCCO2)c1
CC1=NS(=O)(=O)c2cccc(C)c2N1	0.65	-2.43	0.52	2.39		logS	CC1=NS(=O)(=O)c2cccc(C)c2N1
CC1CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C1(O)C(=O)COC2OC(CO)C(O)C(O)C2O	0.71	-2.68	0.32	0.86			CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC1OC(CO)C(O)C(O)C1O
C=CCc1c(OCC)cc(CC2CNC(=N)NC2=N)cc1OCC	2.59	-3.82	0.64	1.66			C=CCc1c(OCC)cc(Cc2c[nH]c(=N)[nH]c2=N)cc1OCC
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl	3.94	-4.73	0.49	1.20			ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
CCOC1OC2OC3(C)CCC4C(CO)CCC(C1C)C24OO3	2.33	-2.23	0.37	2.39		logS	CCOC1OC2OC3(C)CCC4C(CO)CCC(C1C)C24OO3
COc1ccc(OC)c(NC(=O)c2ccc(N=C3C(=O)N(C4CCCCC4)C(=O)C3Cl)cc2)c1	3.68	-5.33	0.71	1.02			COc1ccc(OC)c(NC(=O)c2ccc(N=C3C(=O)N(C4CCCCC4)C(=O)C3Cl)cc2)c1
N=C1CNNc2ccccc12	0.29	-1.75	0.74	1.27			N=c1cn[nH]c2ccccc12
CCC(C)OC(=O)C(C(=O)OC(C)CC)=C1SCCS1	4.11	-4.19	0.44	1.37			CCC(C)OC(=O)C(C(=O)OC(C)CC)=C1SCCS1
CS(=O)(=O)ON1C(=O)c2ccc(N(=O)=O)cc2C1=O	1.18	-3.94	0.38	1.33			CS(=O)(=O)ON1C(=O)c2ccc([N+](=O)[O-])cc2C1=O
CN1CCCNCC1	-0.45	0.59	0.60	0.94			CN1CCCNCC1
CC1CC(N(=O)=O)CC3C1=NC(=O)CNC=3c2ccccc2	1.98	-3.37	0.73	1.08			Cc1cc([N+](=O)[O-])cc2c1=NC(=O)CNC=2c1ccccc1
NC(=O)NNC(=O)c1ccccc1	-0.06	-2.14	0.56	0.83			NC(=O)NNC(=O)c1ccccc1
OC1CCN(CCCc2ccccc2COc3ccc(F)cc3)CC1	3.47	-4.42	0.52	0.92			OC1CCN(CCCc2ccccc2COc2ccc(F)cc2)CC1
CN1C(=O)NC2NC(=O)NC(=O)C12	-1.85	-1.23	0.62	0.75			Cn1c(=O)[nH]c2[nH]c(=O)[nH]c(=O)c21
CNC(=O)NC	-1.27	0.27	0.44	0.82			CNC(=O)NC
Nc1ccc(S(=O)(=O)c2ccc(F)cc2)cc1	2.02	-3.24	0.55	1.58			Nc1ccc(S(=O)(=O)c2ccc(F)cc2)cc1
NC(=O)c1ccccc1Br	1.39	-2.13	0.31	1.13			NC(=O)c1ccccc1Br
Cc1cccc(C)c1NC2=NCCN2	1.72	-2.53	0.70	1.64			Cc1cccc(C)c1NC1=NCCN1
CCC(C)NC(=O)CC(=N)c1ccc(Cl)cc1	2.51	-3.79	0.70	1.29			CCC(C)NC(=O)CC(=N)c1ccc(Cl)cc1
CC(=O)NNC(=O)Nc1ccc(C#N)cc1	0.63	-2.58	0.60	0.94			CC(=O)NNC(=O)Nc1ccc(C#N)cc1
CC(C)(C)Sc1nc3C(=N)NCNc3n1C2OC4COP(=O)(OCc5ccccc5)OC4C2O	1.43	-3.04	0.71	1.65			CC(C)(C)Sc1nc2c(=N)[nH]cnc2n1C1OC2COP(=O)(OCc3ccccc3)OC2C1O
CCC(C)C(NC(=O)C(N)CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O	-0.88	-4.22	0.54	1.68			CCC(C)C(NC(=O)C(N)CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O
O=C(O)CCCC1=NS(=O)(=O)c2cc(Cl)c(Cl)cc2N1	1.55	-3.44	0.30	2.39		logS	O=C(O)CCCC1=NS(=O)(=O)c2cc(Cl)c(Cl)cc2N1
CCc1ccc2cc3ccccc3cc2c1	5.58	-6.69	0.41	0.78			CCc1ccc2cc3ccccc3cc2c1
O=C(Nc1ccccc1Cl)c2ccccc2O	4.13	-3.72	0.30	0.92			O=C(Nc1ccccc1Cl)c1ccccc1O
COc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1	0.57	-2.76	0.40	2.39		logS	COc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1
CCCNC(C)CC	2.19	-0.87	0.45	0.77			CCCNC(C)CC
CCC(C)C(NC(=O)C(CC(N)=O)NC(C)=O)C(N)=O	-1.46	-2.22	0.30	1.71			CCC(C)C(NC(=O)C(CC(N)=O)NC(C)=O)C(N)=O
CCN(CC)P(=O)(N(C)C)N(C)C	0.98	-0.69	0.36	0.79			CCN(CC)P(=O)(N(C)C)N(C)C
O=C(Cc1cccnc1)NN2CC=CCC2	0.76	-1.55	0.65	1.15			O=C(Cc1cccnc1)NN1CC=CCC1
COc1cc(CC2CNC(=N)NC2=N)c(Cl)c(OC)c1	0.97	-3.47	0.69	1.71			COc1cc(Cc2c[nH]c(=N)[nH]c2=N)c(Cl)c(OC)c1
CCOC(=O)C(=O)C(O)C(O)OCC	-0.02	-0.22	0.70	1.02			CCOC(=O)C(=O)C(O)C(O)OCC
COC(=O)C1CCN1CC(O)Cn2ccnc2	-0.21	-1.26	0.56	0.65			COC(=O)C1CCN1CC(O)Cn1ccnc1
O=C(CNC(=O)c1ccccc1)Oc2ccccc2	2.41	-3.60	0.38	0.75			O=C(CNC(=O)c1ccccc1)Oc1ccccc1
CCC(CC)(C(=O)NC(N)=O)C(=O)OC(C)C	1.69	-2.11	0.37	1.74			CCC(CC)(C(=O)NC(N)=O)C(=O)OC(C)C
O=C(O)CCCCCNCCc1ccccc1	0.72	-3.70	0.44	1.43			O=C(O)CCCCCNCCc1ccccc1
CCc1ccc(N(=O)=O)cc1	2.88	-2.90	0.36	0.75			CCc1ccc([N+](=O)[O-])cc1
O=N(=O)C=Cc1ccccc1	2.17	-3.01	0.44	2.39		logS	O=[N+]([O-])C=Cc1ccccc1
O=C1C=CC(N(=O)=O)C(=O)C1N(=O)=O	1.07	-2.80	0.57	0.98			O=C1C=CC([N+](=O)[O-])C(=O)C1[N+](=O)[O-]
CC(C)Oc1ccccc1O	2.27	-1.58	0.45	1.05			CC(C)Oc1ccccc1O
Nc1ccccc1CO	-0.13	-0.43	0.31	0.66			Nc1ccccc1CO
CCCCOc1ccnc(C=CC2=CC(N(=O)=O)O2)n1	2.90	-3.01	0.74	1.16			CCCCOc1ccnc(C=CC2=CC([N+](=O)[O-])O2)n1
CC(C)C(C)C	2.84	-2.98	0.80	0.71			CC(C)C(C)C
CC(=O)Oc1ccccc1	1.59	-1.79	0.40	0.61			CC(=O)Oc1ccccc1
CC(=O)Nc1cc(C(F)(F)F)c(F)cc1F	2.61	-3.33	0.41	1.54			CC(=O)Nc1cc(C(F)(F)F)c(F)cc1F
CCOC(=O)C(C(=O)OC(C)C)=C1SCCS1	2.81	-3.19	0.35	1.55			CCOC(=O)C(C(=O)OC(C)C)=C1SCCS1
c1ccc2c(c1)CCC2	2.97	-3.15	0.39	1.03			c1ccc2c(c1)CCC2
CCCCN(SN(C)C(=O)ON=C(C)SC)C(=O)OC	2.30	-2.78	0.49	1.01			CCCCN(SN(C)C(=O)ON=C(C)SC)C(=O)OC
CN(C)CCCC(c1ccccc1)c2ccc(C(C)(C)C)cc2	5.60	-6.21	0.32	1.14			CN(C)CCCC(c1ccccc1)c1ccc(C(C)(C)C)cc1
NCc1cccnc1	-0.43	0.10	0.30	0.87			NCc1cccnc1
S=C=Nc1cccc(Cl)c1	3.91	-3.76	0.30	0.83			S=C=Nc1cccc(Cl)c1
CC(C)N=C1NC(Cl)NC(=N)N1	0.30	-2.13	0.70	1.64			CC(C)N=c1[nH]c(Cl)nc(=N)[nH]1
CCCn1cnc2C(=NC(C)=O)NCNc12	0.25	-2.02	0.63	0.99			CCCn1cnc2c(=NC(C)=O)[nH]cnc21
CN(C(=O)CCSC#N)c1ccc(S(=O)(=O)N(C)C)cc1	0.83	-2.81	0.67	2.39		logS	CN(C(=O)CCSC#N)c1ccc(S(=O)(=O)N(C)C)cc1
COc1cc(C=NO)ccc1OCCOC(=O)c2ccccc2	2.87	-4.22	0.33	1.20			COc1cc(C=NO)ccc1OCCOC(=O)c1ccccc1
C#CCN(C)N=Nc1nc[nH]c1C(N)=O	0.27	-3.11	0.76	1.16			C#CCN(C)N=Nc1nc[nH]c1C(N)=O
COc1ncc(c2ccncc2)cc1C#N	1.82	-3.35	0.43	0.86			COc1ncc(-c2ccncc2)cc1C#N
COCC(C)OC(=O)C(N)Cc1ccc(O)c(O)c1	0.21	-2.28	0.40	1.14			COCC(C)OC(=O)C(N)Cc1ccc(O)c(O)c1
COC(=O)c1cnc(N(=O)=O)n1C	0.15	-1.79	0.43	0.70			COC(=O)c1cnc([N+](=O)[O-])n1C
O=C(NO)c1ccccc1	0.17	-1.48	0.40	0.87			O=C(NO)c1ccccc1
CCNP(=O)(OCC)ON=C(C#N)c1ccc(N(=O)=O)cc1	2.25	-2.98	0.38	2.39		logS	CCNP(=O)(OCC)ON=C(C#N)c1ccc([N+](=O)[O-])cc1
O=C1c2ccccc2Sc3ccccc13	3.88	-3.95	0.51	1.28			O=c1c2ccccc2sc2ccccc12
Clc1cc(Cl)c(Oc2ccc(Cl)c(Cl)c2)c(Cl)c1	6.41	-7.09	0.30	1.05			Clc1cc(Cl)c(Oc2ccc(Cl)c(Cl)c2)c(Cl)c1
Cc1c(Cl)non1=O	1.07	-0.61	0.41	2.39		logS	Cc1c(Cl)no[n+]1[O-]
CNC(=O)N(CCCCC(NC(C)=O)C(=O)NCc1ccccc1)Cc2ccccc2	2.17	-4.60	0.32	1.24			CNC(=O)N(CCCCC(NC(C)=O)C(=O)NCc1ccccc1)Cc1ccccc1
CC(C)C(C#N)c1ccc(N(=O)=O)cc1	2.67	-3.53	0.72	0.82			CC(C)C(C#N)c1ccc([N+](=O)[O-])cc1
CN1C(C(=O)N=C2CCCCN2)C(=O)c3ccccc3S1(=O)=O	1.17	-3.04	0.69	1.24			CN1C(C(=O)N=c2cccc[nH]2)C(=O)c2ccccc2S1(=O)=O
CN(C)C(=O)Oc1cccnc1Br	1.43	-1.26	0.58	1.56			CN(C)C(=O)Oc1cccnc1Br
CCN(C(=O)COC(=O)C(=Cc1ccc(Cl)cc1)c2ccc(F)cc2)C3CCS(=O)(=O)C3	3.67	-5.51	0.73	1.61			CCN(C(=O)COC(=O)C(=Cc1ccc(Cl)cc1)c1ccc(F)cc1)C1CCS(=O)(=O)C1
N#CCc1cccs1	1.74	-2.32	0.44	1.22			N#CCc1cccs1
c1ccc(NNc2ccccc2)cc1	2.88	-2.50	0.58	1.03			c1ccc(NNc2ccccc2)cc1
Cc1cc(C)n2c(SCc3ccc(C(=O)c4ccccc4)cc3)nnc2n1	4.05	-5.53	0.76	2.39		logS	Cc1cc(C)n2c(SCc3ccc(C(=O)c4ccccc4)cc3)nnc2n1
Oc1ccc2[nH]ccc2c1	1.53	-1.33	0.49	0.69			Oc1ccc2[nH]ccc2c1
O=C1CCc2ccccc2O1	1.66	-1.82	0.42	1.42			O=c1ccc2ccccc2o1
CC(=O)N=C1CCN(C2OC(CO)C(O)C2O)C(=O)N1	-1.11	-1.08	0.59	1.71			CC(=O)N=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1
COC(=O)c1cc(N(=O)=O)cc(N(=O)=O)c1	1.60	-3.48	0.63	1.07			COC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
C=CCN(CCC#N)c1cc(NC(C)=O)c(N=Nc2c(Br)cc(N(=O)=O)cc2N(=O)=O)cc1OC	5.32	-4.63	0.72	1.08			C=CCN(CCC#N)c1cc(NC(C)=O)c(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1OC
CNC13CCC(CN)CC1Cc2ccccc23	2.08	-3.81	0.76	1.25			CNC12CCC(CN)CC1Cc1ccccc12
NC(=O)Nc1ccc(F)cc1	1.13	-1.51	0.32	1.18			NC(=O)Nc1ccc(F)cc1
Clc1ccc(c2ccccc2)cc1	4.57	-4.84	0.30	0.61			Clc1ccc(-c2ccccc2)cc1
CSC1CCC3C(C1)=C(c2ccccc2)NCC(=O)N=3	2.51	-3.64	0.77	1.44			CSc1ccc2c(c1)=C(c1ccccc1)NCC(=O)N=2
error in CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21.CCOC(=O)COc1cccc2ccccc12 Can't do disconnected structures.
O=N(=O)c1ccc(c2ccccc2)cc1	3.83	-4.18	0.31	1.15			O=[N+]([O-])c1ccc(-c2ccccc2)cc1
CC(=O)N=C1C(=O)c3ccccc3C(=O)C1Nc2ccccc2	4.08	-3.99	0.40	1.03			CC(=O)N=C1C(=O)c2ccccc2C(=O)C1Nc1ccccc1
Cc1nnc(SCc2ccccc2)o1	2.01	-2.95	0.63	0.92			Cc1nnc(SCc2ccccc2)o1
ClCCCBr	2.12	-2.07	0.50	0.98			ClCCCBr
CCOC(=O)Nc1ccc4c(c1)N(C(=O)CCN2CCOCC2)c3ccccc3S4	3.04	-4.10	0.70	1.35			CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2
c1cc2nc[nH]c2cn1	0.28	-0.46	0.40	0.61			c1cc2nc[nH]c2cn1
CCCCOc1ccc(O)cc1	2.98	-2.19	0.30	1.39			CCCCOc1ccc(O)cc1
CC(C)OC(=O)c1ccc2[nH]c3c(c2c1)CCCC3	4.17	-4.43	0.69	1.58			CC(C)OC(=O)c1ccc2[nH]c3c(c2c1)CCCC3
CCC(C)C(NC(C)=O)C(N)=O	-0.12	-0.80	0.46	1.47			CCC(C)C(NC(C)=O)C(N)=O
O=N(=O)c1ccc3c(c1)Cc2cc(N(=O)=O)ccc23	3.40	-4.59	0.46	1.32			O=[N+]([O-])c1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c2ccc(F)cc2	3.10	-4.42	0.67	1.94			CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1
NC(=S)NN=Cc1cccc(O)c1	1.78	-2.83	0.42	2.39		logS	NC(=S)NN=Cc1cccc(O)c1
CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3C(=O)CC12C	3.69	-5.38	0.35	1.00			CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3C(=O)CC21C
CN(C(=O)C(Cl)Cl)c1ccc(O)cc1	2.01	-2.01	0.57	1.52			CN(C(=O)C(Cl)Cl)c1ccc(O)cc1
Cc1ccc(N2C(=O)N(c3cccc(Cl)c3)C4CS(=O)(=O)CC24)cc1	2.46	-3.83	0.75	1.67			Cc1ccc(N2C(=O)N(c3cccc(Cl)c3)C3CS(=O)(=O)CC32)cc1
CC(=O)C=Cc1ccc(N(C)C)cc1	2.49	-2.30	0.49	1.11			CC(=O)C=Cc1ccc(N(C)C)cc1
CCN1C(=O)C(N=Nc2ccc(Cl)cc2N(=O)=O)=C(C)C(C#N)C1=O	3.04	-4.36	0.70	0.97			CCN1C(=O)C(N=Nc2ccc(Cl)cc2[N+](=O)[O-])=C(C)C(C#N)C1=O
CCCOP(N)(=O)SCCC	1.05	-1.10	0.38	2.39		logS	CCCOP(N)(=O)SCCC
COC1NC(=Nc2ccccc2)NC(Cl)N1	0.76	-2.43	0.71	1.54			COc1nc(=Nc2ccccc2)nc(Cl)[nH]1
NC(=O)c1ccc(N(=O)=O)cc1	0.31	-2.32	0.32	0.78			NC(=O)c1ccc([N+](=O)[O-])cc1
CCOC(=O)CN1C(=O)CC1Oc2ccc(C(=O)C=Cc3ccccc3)cc2	3.02	-4.66	0.52	1.21			CCOC(=O)CN1C(=O)CC1Oc1ccc(C(=O)C=Cc2ccccc2)cc1
Nc1c(c2ccccc2)non1=O	1.53	-1.58	0.49	2.39		logS	Nc1c(-c2ccccc2)no[n+]1[O-]
O=C(O)Cc1ccccc1Nc2c(Cl)cccc2I	5.30	-4.84	0.32	0.93			O=C(O)Cc1ccccc1Nc1c(Cl)cccc1I
COc1ncccn1	0.90	0.52	0.42	0.72			COc1ncccn1
COc1ccccc1N2CCNCC2	1.42	-1.31	0.39	1.35			COc1ccccc1N1CCNCC1
CCOC=O	0.38	0.61	0.35	0.62			CCOC=O
ClC(Cl)(Cl)Sc1ccccc1	4.19	-4.36	0.72	1.33			ClC(Cl)(Cl)Sc1ccccc1
CC(C)c1ccc(OC(=O)c2ccc(N)cc2O)cc1	4.26	-3.68	0.31	1.57			CC(C)c1ccc(OC(=O)c2ccc(N)cc2O)cc1
Clc1c(Cl)c(Cl)c2c(oc3ccccc23)c1Cl	6.24	-5.01	0.32	0.69			Clc1c(Cl)c(Cl)c2c(oc3ccccc32)c1Cl
Nc1c(Cl)cc(Cl)cc1Cl	3.46	-3.22	0.30	0.83			Nc1c(Cl)cc(Cl)cc1Cl
CCCCCCN(C)C(=O)COC(=O)c1ccccc1	3.39	-3.41	0.39	1.13			CCCCCCN(C)C(=O)COC(=O)c1ccccc1
CC(C(=O)O)c1ccc(c2nccs2)c(C(F)(F)F)c1	3.52	-4.42	0.42	1.71			CC(C(=O)O)c1ccc(-c2nccs2)c(C(F)(F)F)c1
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12	3.24	-3.87	0.61	0.82			CCc1cccc2cc(C(O)CNC(C)(C)C)oc12
CNP(=O)(OC)Oc1ccc(OC)cc1	1.22	-1.61	0.45	2.39		logS	CNP(=O)(OC)Oc1ccc(OC)cc1
C=C(C)C(=O)OC1CC2C=C(CC3(C)OC3C4OC(=O)C(=C)C14)OC2=O	1.02	-2.47	0.37	1.26			C=C(C)C(=O)OC1CC2C=C(CC3(C)OC3C3OC(=O)C(=C)C13)OC2=O
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	4.99	-4.32	0.36	1.02			Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
CCSC(=O)N(CC)C1CCCCC1	3.97	-3.14	0.51	0.73			CCSC(=O)N(CC)C1CCCCC1
